2025-08-25 19:29:38 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-08-25 19:30:09 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-08-25 19:30:09 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 1
2025-08-25 19:30:09 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-08-25 19:30:09 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-08-25 19:30:10 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-08-25 19:30:10 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 1 historical messages
2025-08-25 19:30:10 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 1 for session 2c810ca1-592b-43fb-9020-cd081b955cc1
2025-08-25 19:30:10 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': '2c810ca1-592b-43fb-9020-cd081b955cc1', 'workflow_checkpoint_id': 1, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-08-25 19:30:11 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 1 messages
2025-08-25 19:30:11 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-08-25 19:30:11 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-08-25 19:30:14 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-08-25 19:30:14 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-08-25 19:30:14 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-08-25 19:30:14 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-08-26 11:17:49 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-08-26 11:31:49 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-08-26 11:31:49 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 2
2025-08-26 11:31:49 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-08-26 11:31:49 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-08-26 11:31:50 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-08-26 11:31:50 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 1 historical messages
2025-08-26 11:31:50 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 2 for session ddc78277-cc9d-4dc2-85fe-a5992a3bbe4b
2025-08-26 11:31:50 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': 'ddc78277-cc9d-4dc2-85fe-a5992a3bbe4b', 'workflow_checkpoint_id': 2, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-08-26 11:31:51 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 1 messages
2025-08-26 11:31:51 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-08-26 11:31:51 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-08-26 11:31:55 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-08-26 11:31:55 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-08-26 11:31:55 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-08-26 11:31:55 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-08-26 11:32:01 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-08-26 11:32:01 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 3
2025-08-26 11:32:01 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
2025-08-26 11:32:01 | INFO     | auth_utils.py:extract_and_store_api_key:27 | ComfyUI Copilot API key extracted and stored: null...
2025-08-26 11:32:01 | INFO     | conversation_api.py:invoke_chat:110 | Request JSON:
2025-08-26 11:32:01 | INFO     | conversation_api.py:invoke_chat:153 | -- Received 3 historical messages
2025-08-26 11:32:01 | INFO     | conversation_api.py:invoke_chat:157 | Using workflow checkpoint ID: 3 for session ddc78277-cc9d-4dc2-85fe-a5992a3bbe4b
2025-08-26 11:32:01 | INFO     | conversation_api.py:invoke_chat:176 | config: {'session_id': 'ddc78277-cc9d-4dc2-85fe-a5992a3bbe4b', 'workflow_checkpoint_id': 3, 'openai_api_key': '', 'openai_base_url': None, 'model_select': 'gemini-2.5-flash'}
2025-08-26 11:32:02 | INFO     | mcp_client.py:comfyui_agent_invoke:131 | -- Processing 3 messages
2025-08-26 11:32:02 | INFO     | mcp_client.py:comfyui_agent_invoke:138 | === MCP Agent Run starting ===
2025-08-26 11:32:02 | INFO     | mcp_client.py:process_stream_events:178 | Handoff to: ComfyUI-Copilot
2025-08-26 11:32:02 | INFO     | mcp_client.py:comfyui_agent_invoke:347 | Total tool results: 0
2025-08-26 11:32:02 | INFO     | mcp_client.py:comfyui_agent_invoke:357 | === End Tool Results Summary ===

2025-08-26 11:32:02 | INFO     | conversation_api.py:invoke_chat:191 | -- Received ext data: None, finished: True
2025-08-26 11:32:02 | INFO     | conversation_api.py:invoke_chat:216 | -- Sending final response: 0 chars, ext: False, finished: True
2025-08-26 11:54:18 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-08-26 12:01:52 | INFO     | llm_api.py:list_models:36 | Received list_models request
2025-08-26 12:02:13 | INFO     | conversation_api.py:save_workflow_checkpoint:252 | Received save-workflow-checkpoint request
2025-08-26 12:02:13 | INFO     | conversation_api.py:save_workflow_checkpoint:291 | Workflow checkpoint saved with version ID: 4
2025-08-26 12:02:13 | INFO     | conversation_api.py:invoke_chat:104 | Received invoke_chat request
